allMethods,polyMethods,messages,hierarchies,hierarchies,polyHierarchies,classes,polyClasses,methodsCallingPoly,classesCallingPoly,polyCalls,allCalls,implementsPolymorphism,usesPolymorphism
[dom4j-1.6.1_20050520] , 2973, 778, 214, 14, 14, 13, 324, 151, 724, 204, 1383, 3758, true, true
[dozer_r951_20090830] , 3496, 414, 129, 32, 32, 13, 642, 175, 120, 51, 188, 3547, true, true
[dspace-1.5.2] , 5138, 1457, 274, 34, 34, 28, 731, 396, 790, 307, 1851, 15429, true, true
[dwr-3.0.0.116_rc1] , 5504, 838, 221, 34, 34, 23, 695, 287, 439, 187, 730, 7205, true, true
[dynamicjasper_20090905] , 2504, 240, 29, 13, 13, 10, 289, 165, 261, 125, 295, 6048, true, true
[eXist_20090905] , 16974, 5942, 1402, 94, 94, 75, 1973, 1164, 3981, 1068, 13783, 40607, true, true
[easyweb4j_20090905] , 306, 42, 11, 1, 1, 0, 58, 21, 10, 4, 11, 256, true, true
[eclemma_r723_20090830] , 896, 221, 90, 4, 4, 3, 156, 51, 135, 48, 321, 945, true, true
[eclipseme_20090905] , 3426, 810, 232, 28, 28, 25, 525, 189, 390, 140, 787, 4866, true, true
[ehcache_20090905] , 2983, 763, 215, 25, 25, 20, 380, 148, 654, 104, 1140, 4175, true, true
[ejbca_r7944_20090830] , 10073, 1454, 348, 51, 51, 30, 1333, 391, 626, 255, 1282, 19808, true, true
[endeavour-mgmt_20090905] , 1171, 188, 30, 6, 6, 3, 147, 55, 124, 42, 215, 2078, true, true
[findbugs-1.3.9] , 8647, 1977, 501, 61, 61, 51, 1208, 569, 1010, 461, 2326, 15984, true, true
[freecol_r5746_20090830] , 5944, 1184, 182, 21, 21, 19, 740, 363, 1557, 359, 4281, 24108, true, true
[freemind-0.9.0_RC_4_20090522] , 5528, 2072, 568, 35, 35, 27, 728, 380, 1370, 409, 3438, 10016, true, true
[freenet_20090308] , 13957, 3328, 804, 124, 124, 89, 1751, 900, 1651, 612, 3765, 23927, true, true
[freeplane_20090904] , 5907, 1512, 396, 50, 50, 39, 930, 443, 842, 349, 1299, 11212, true, true
[frostwire_r1223_20090830] , 28720, 8760, 2686, 195, 195, 165, 3771, 1934, 5670, 1501, 14160, 46385, true, true
[ganttproject_20090920] , 5312, 2273, 720, 58, 58, 44, 682, 460, 1160, 374, 2872, 7589, true, true
[geonetwork_20090905] , 4173, 1246, 313, 28, 28, 16, 826, 382, 347, 158, 758, 6805, true, true
[google-visualization-r45_20090923] , 1313, 180, 29, 5, 5, 4, 151, 40, 206, 66, 312, 3541, true, true
[hattrickorganizer_20090905] , 8226, 2313, 950, 30, 30, 23, 890, 335, 1240, 458, 5326, 19740, true, true
[hipergate_20090905] , 5449, 1148, 167, 31, 31, 21, 649, 280, 542, 150, 1299, 9920, true, true
[hsqldb_r3154_20090830] , 8989, 2192, 607, 51, 51, 43, 621, 298, 1779, 278, 4805, 22049, true, true
[hudson-1.322_20090928] , 6134, 1375, 399, 84, 84, 68, 1111, 478, 837, 334, 1284, 6475, true, true
[hyperimage_20090905] , 3721, 81, 14, 6, 6, 3, 557, 38, 61, 33, 71, 6135, true, true
[iText-5.0.2] , 5092, 744, 188, 31, 31, 22, 524, 204, 415, 153, 592, 8115, true, true
